62.75,1990.7,1027.3,2
62.997,1938.7,1007.7,2
63.346,1960.9,1029.6,2
63.947,1950.2,1042.2,2
64.204,1931.9,1040.4,2
64.387,1951.7,1056.8,2
64.466,1964.2,1066.1,2
66.103,1782.9,1017.2,2
66.38,1803.7,1038,2
66.456,1874.2,1081.1,2
66.462,1919.9,1107.7,2
66.909,1935.8,1132.7,2
67.805,1746.5,1051.5,2
68.442,1673.2,1028.4,2
68.463,1920.6,1181.3,2
68.492,1624.7,1000.2,2
68.53,1985.1,1223.6,2
68.591,1651,1019.7,2
68.661,1672.3,1035.2,2
68.778,1827.1,1468.5,2
68.824,1752.2,1090.5,2
68.895,1842.2,1485.7,2
68.964,1682.8,1052.1,2
69.054,1412.8,1144.7,2
69.124,1464.3,1188.9,2
69.163,1898.1,1194.6,2
69.198,1590.7,1002.3,2
69.273,1671.9,1363.3,2
69.319,1612.6,1020.2,2
69.33,1459.4,1192,2
69.376,1499.1,1226.1,2
69.393,1596.3,1306.2,2
69.395,1744.5,1106.4,2
69.409,1503.7,1082.1,2
69.499,1566.8,1130.5,2
69.627,1226.9,1010.9,2
69.634,1469.2,1064.3,2
69.656,1307.7,1078.4,2
69.685,1816.8,1499.5,2
69.721,1335.4,1103.4,2
69.742,1229.5,1016.5,2
69.793,1238.5,1025.5,2
69.807,1355,1122.4,2
69.886,1525.5,1114.6,2
69.895,1800.8,1161.5,2
69.916,1656.2,1376.3,2
69.975,1389.1,1018,2
70.004,1344,1119.8,2
70.011,1681.8,1234,2
70.07,1894.2,1229,2
70.085,1348.5,1126.3,2
70.101,1767.8,1477.2,2
70.101,1634.4,1365.7,2
70.234,1801.3,1331.8,2
70.248,1429.2,1199.5,2
70.265,1563.7,1157.3,2
70.273,1396.9,1173.3,2
70.302,1538.8,1006.3,2
70.306,1576.3,1325.2,2
70.318,1499.9,1261.5,2
70.378,1759.8,1307.5,2
70.379,1951.5,1450,2
70.393,1266.6,1067.6,2
70.437,1718.6,1450.6,2
70.437,1294,1092.2,2
70.463,1723.7,1133.4,2
70.469,1677,1416.8,2
70.498,1649.8,1395,2
70.513,1797.6,1184,2
70.528,1798.5,1343.2,2
70.54,1732.7,1294.6,2
70.557,1494,1265.6,2
70.569,1858.3,1226.4,2
70.59,1346.7,1008,2
70.6,1816.5,1360,2
70.625,1184.1,1005.1,2
70.65,1372,1165.4,2
70.664,1335,1134.5,2
70.676,1750.5,1159.5,2
70.704,1505.8,1131.5,2
70.781,1822.7,1211.6,2
70.781,1883,1251.7,2
70.801,1466.4,1105.5,2
70.816,1858.2,1236.7,2
70.837,1891.3,1427.7,2
70.87,1559.9,1333.8,2
70.893,1878.5,1253.6,2
70.939,1675.2,1119.7,2
70.966,1689.4,1130.2,2
70.974,1728,1310.7,2
70.991,1928.7,1291.5,2
71.057,1647.7,1253.4,2
71.074,1201.5,1033.7,2
71.107,1681.8,1281.6,2
71.112,1630.4,1404.4,2
71.12,1878.7,1263.6,2
71.138,1497,1142,2
71.244,1694.4,1465.4,2
71.272,1454.9,1259.3,2
71.281,1835.1,1241.2,2
71.281,1905.6,1288.9,2
71.303,1661.4,1124.6,2
71.309,1741.1,1336.2,2
71.328,1801.5,1220.5,2
71.347,1534.9,1040.6,2
71.381,1913.6,1298.9,2
71.395,1217.4,1057.7,2
71.399,1403.5,1080.5,2
71.445,1630.9,1257.6,2
71.47,1447.9,1117.5,2
71.483,1947.6,1326.7,2
71.543,1687.3,1305.6,2
71.57,1454.7,1126.7,2
71.622,1890.8,1294.3,2
71.669,1616.5,1416.3,2
71.68,1663.3,1457.8,2
71.701,1626.5,1426.4,2
